MuP,NLL,MuT,OptMuP,BFMuP
10.658291457286433,1592.3360861724877,0.08,15.0,13.195979899497488
10.683417085427136,1590.21702094656,0.08,15.0,13.195979899497488
10.708542713567839,1588.1239921536514,0.08,15.0,13.195979899497488
10.733668341708542,1586.0568776090404,0.08,15.0,13.195979899497488
10.758793969849247,1584.0155559830805,0.08,15.0,13.195979899497488
10.78391959798995,1581.9999067932556,0.08,15.0,13.195979899497488
10.809045226130653,1580.0098103962143,0.08,15.0,13.195979899497488
10.834170854271356,1578.0451479799508,0.08,15.0,13.195979899497488
10.859296482412061,1576.1058015561237,0.08,15.0,13.195979899497488
10.884422110552764,1574.1916539523602,0.08,15.0,13.195979899497488
10.909547738693467,1572.3025888047207,0.08,15.0,13.195979899497488
10.93467336683417,1570.4384905502438,0.08,15.0,13.195979899497488
10.959798994974875,1568.5992444195551,0.08,15.0,13.195979899497488
10.984924623115578,1566.7847364295415,0.08,15.0,13.195979899497488
11.010050251256281,1564.9948533761906,0.08,15.0,13.195979899497488
11.035175879396984,1563.2294828274198,0.08,15.0,13.195979899497488
11.06030150753769,1561.488513116017,0.08,15.0,13.195979899497488
11.085427135678392,1559.7718333326973,0.08,15.0,13.195979899497488
11.110552763819095,1558.0793333191873,0.08,15.0,13.195979899497488
11.1356783919598,1556.410903661416,0.08,15.0,13.195979899497488
11.160804020100503,1554.7664356827675,0.08,15.0,13.195979899497488
11.185929648241206,1553.145821437431,0.08,15.0,13.195979899497488
11.21105527638191,1551.548953703773,0.08,15.0,13.195979899497488
11.236180904522612,1549.975725977861,0.08,15.0,13.195979899497488
11.261306532663317,1548.4260324670133,0.08,15.0,13.195979899497488
11.28643216080402,1546.8997680833781,0.08,15.0,13.195979899497488
11.311557788944723,1545.3968284376867,0.08,15.0,13.195979899497488
11.336683417085428,1543.9171098330087,0.08,15.0,13.195979899497488
11.361809045226131,1542.4605092585298,0.08,15.0,13.195979899497488
11.386934673366834,1541.026924383544,0.08,15.0,13.195979899497488
11.412060301507537,1539.6162535513367,0.08,15.0,13.195979899497488
11.43718592964824,1538.2283957732902,0.08,15.0,13.195979899497488
11.462311557788945,1536.8632507229183,0.08,15.0,13.195979899497488
11.487437185929648,1535.520718730079,0.08,15.0,13.195979899497488
11.512562814070352,1534.200700775172,0.08,15.0,13.195979899497488
11.537688442211056,1532.9030984834526,0.08,15.0,13.195979899497488
11.56281407035176,1531.6278141193548,0.08,15.0,13.195979899497488
11.587939698492463,1530.3747505809033,0.08,15.0,13.195979899497488
11.613065326633166,1529.1438113942277,0.08,15.0,13.195979899497488
11.638190954773869,1527.934900708023,0.08,15.0,13.195979899497488
11.663316582914574,1526.7479232882004,0.08,15.0,13.195979899497488
11.688442211055277,1525.5827845124966,0.08,15.0,13.195979899497488
11.71356783919598,1524.4393903652115,0.08,15.0,13.195979899497488
11.738693467336685,1523.3176474319066,0.08,15.0,13.195979899497488
11.763819095477388,1522.2174628942817,0.08,15.0,13.195979899497488
11.78894472361809,1521.1387445250332,0.08,15.0,13.195979899497488
11.814070351758794,1520.0814006827181,0.08,15.0,13.195979899497488
11.839195979899497,1519.0453403068377,0.08,15.0,13.195979899497488
11.864321608040202,1518.030472912752,0.08,15.0,13.195979899497488
11.889447236180905,1517.0367085868552,0.08,15.0,13.195979899497488
11.914572864321608,1516.0639579816266,0.08,15.0,13.195979899497488
11.939698492462313,1515.1121323109105,0.08,15.0,13.195979899497488
11.964824120603016,1514.1811433450432,0.08,15.0,13.195979899497488
11.989949748743719,1513.270903406207,0.08,15.0,13.195979899497488
12.015075376884422,1512.381325363733,0.08,15.0,13.195979899497488
12.040201005025125,1511.5123226294993,0.08,15.0,13.195979899497488
12.06532663316583,1510.663809153327,0.08,15.0,13.195979899497488
12.090452261306533,1509.835699418485,0.08,15.0,13.195979899497488
12.115577889447236,1509.0279084371905,0.08,15.0,13.195979899497488
12.14070351758794,1508.2403517461817,0.08,15.0,13.195979899497488
12.165829145728644,1507.472945402327,0.08,15.0,13.195979899497488
12.190954773869347,1506.725605978281,0.08,15.0,13.195979899497488
12.21608040201005,1505.9982505581684,0.08,15.0,13.195979899497488
12.241206030150753,1505.2907967333365,0.08,15.0,13.195979899497488
12.266331658291458,1504.6031625981946,0.08,15.0,13.195979899497488
12.291457286432161,1503.9352667459186,0.08,15.0,13.195979899497488
12.316582914572864,1503.287028264439,0.08,15.0,13.195979899497488
12.341708542713569,1502.658366732276,0.08,15.0,13.195979899497488
12.366834170854272,1502.0492022145402,0.08,15.0,13.195979899497488
12.391959798994975,1501.4594552588965,0.08,15.0,13.195979899497488
12.417085427135678,1500.8890468915952,0.08,15.0,13.195979899497488
