JudgeName,FullAssignment,Assignment,Date,AssignmentType,StartDate,WorkType,Week,County,Circuit,Days
HAYES,York CP,York CP,2000-12-08,Single,2000-12-04,CP,49-2000,York,16,1.0
JOHNSON,Laurens GS,Laurens GS,2000-12-04,Single,2000-12-04,GS,49-2000,Laurens,8,1.0
JOHNSON,Laurens GS,Laurens GS,2000-12-05,Single,2000-12-04,GS,49-2000,Laurens,8,1.0
JOHNSON,Laurens GS,Laurens GS,2000-12-06,Single,2000-12-04,GS,49-2000,Laurens,8,1.0
JOHNSON,Laurens GS,Laurens GS,2000-12-07,Single,2000-12-04,GS,49-2000,Laurens,8,1.0
JOHNSON,Laurens GS,Laurens GS,2000-12-08,Single,2000-12-04,GS,49-2000,Laurens,8,1.0
KEESLEY,Sick,Sick,2000-12-04,Single,2000-12-04,Sick,49-2000,Sick,na,1.0
KEESLEY,Sick,Sick,2000-12-05,Single,2000-12-04,Sick,49-2000,Sick,na,1.0
KEESLEY,Sick,Sick,2000-12-06,Single,2000-12-04,Sick,49-2000,Sick,na,1.0
KEESLEY,Sick,Sick,2000-12-07,Single,2000-12-04,Sick,49-2000,Sick,na,1.0
KEESLEY,Sick,Sick,2000-12-08,Single,2000-12-04,Sick,49-2000,Sick,na,1.0
KINARD,Kershaw GS,Kershaw GS,2000-12-04,Single,2000-12-04,GS,49-2000,Kershaw,5,1.0
KINARD,Kershaw GS,Kershaw GS,2000-12-05,Single,2000-12-04,GS,49-2000,Kershaw,5,1.0
KINARD,Kershaw GS,Kershaw GS,2000-12-06,Single,2000-12-04,GS,49-2000,Kershaw,5,1.0
KINARD,Kershaw GS,Kershaw GS,2000-12-07,Single,2000-12-04,GS,49-2000,Kershaw,5,1.0
KINARD,Kershaw GS,Kershaw GS,2000-12-08,Single,2000-12-04,GS,49-2000,Kershaw,5,1.0
KING,Sumter CP,Sumter CP,2000-12-04,Single,2000-12-04,CP,49-2000,Sumter,3,1.0
KING,Sumter CP,Sumter CP,2000-12-05,Single,2000-12-04,CP,49-2000,Sumter,3,1.0
KING,Sumter CP,Sumter CP,2000-12-06,Single,2000-12-04,CP,49-2000,Sumter,3,1.0
KING,Sumter CP,Sumter CP,2000-12-07,Single,2000-12-04,CP,49-2000,Sumter,3,1.0
KING,Sumter CP,Sumter CP,2000-12-08,Single,2000-12-04,CP,49-2000,Sumter,3,1.0
KITTREDGE,Greenville CP,Greenville CP,2000-12-04,Single,2000-12-04,CP,49-2000,Greenville,13,1.0
KITTREDGE,Greenville CP,Greenville CP,2000-12-05,Single,2000-12-04,CP,49-2000,Greenville,13,1.0
KITTREDGE,Greenville CP,Greenville CP,2000-12-06,Single,2000-12-04,CP,49-2000,Greenville,13,1.0
KITTREDGE,Greenville CP,Greenville CP,2000-12-07,Single,2000-12-04,CP,49-2000,Greenville,13,1.0
KITTREDGE,Greenville CP,Greenville CP,2000-12-08,Single,2000-12-04,CP,49-2000,Greenville,13,1.0
LEE,Richland CP,Richland CP,2000-12-04,Single,2000-12-04,CP,49-2000,Richland,5,1.0
LEE,Richland CP,Richland CP,2000-12-05,Single,2000-12-04,CP,49-2000,Richland,5,1.0
LEE,Richland CP,Richland CP,2000-12-06,Single,2000-12-04,CP,49-2000,Richland,5,1.0
LEE,Richland CP,Richland CP,2000-12-07,Single,2000-12-04,CP,49-2000,Richland,5,1.0
LEE,Richland CP,Richland CP,2000-12-08,Single,2000-12-04,CP,49-2000,Richland,5,1.0
LOCKEMY,Chesterfield GS,Chesterfield GS,2000-12-04,Single,2000-12-04,GS,49-2000,Chesterfield,4,1.0
LOCKEMY,Chesterfield GS,Chesterfield GS,2000-12-05,Single,2000-12-04,GS,49-2000,Chesterfield,4,1.0
LOCKEMY,Chesterfield GS,Chesterfield GS,2000-12-06,Single,2000-12-04,GS,49-2000,Chesterfield,4,1.0
LOCKEMY,Chesterfield GS,Chesterfield GS,2000-12-07,Single,2000-12-04,GS,49-2000,Chesterfield,4,1.0
LOCKEMY,Chesterfield GS,Chesterfield GS,2000-12-08,Single,2000-12-04,GS,49-2000,Chesterfield,4,1.0
MACAULAY,10th Cir. CPNJ/PCR,10th Cir. CPNJ/PCR,2000-12-04,Single,2000-12-04,CPNJ/PCR,49-2000,10th Cir.,10,1.0
MACAULAY,10th Cir. CPNJ/PCR,10th Cir. CPNJ/PCR,2000-12-05,Single,2000-12-04,CPNJ/PCR,49-2000,10th Cir.,10,1.0
MACAULAY,10th Cir. CPNJ/PCR,10th Cir. CPNJ/PCR,2000-12-06,Single,2000-12-04,CPNJ/PCR,49-2000,10th Cir.,10,1.0
MACAULAY,10th Cir. CPNJ/PCR,10th Cir. CPNJ/PCR,2000-12-07,Single,2000-12-04,CPNJ/PCR,49-2000,10th Cir.,10,1.0
MACAULAY,10th Cir. CPNJ/PCR,10th Cir. CPNJ/PCR,2000-12-08,Single,2000-12-04,CPNJ/PCR,49-2000,10th Cir.,10,1.0
MANNING,Richland GS,Richland GS,2000-12-04,Single,2000-12-04,GS,49-2000,Richland,5,1.0
MANNING,Richland GS,Richland GS,2000-12-05,Single,2000-12-04,GS,49-2000,Richland,5,1.0
MANNING,Richland GS,Richland GS,2000-12-06,Single,2000-12-04,GS,49-2000,Richland,5,1.0
MANNING,Richland GS,Richland GS,2000-12-07,Single,2000-12-04,GS,49-2000,Richland,5,1.0
MANNING,Richland GS,Richland GS,2000-12-08,Single,2000-12-04,GS,49-2000,Richland,5,1.0
MARTIN,Charleston GS,Charleston GS,2000-12-04,Single,2000-12-04,GS,49-2000,Charleston,9,1.0
MARTIN,Charleston GS,Charleston GS,2000-12-05,Single,2000-12-04,GS,49-2000,Charleston,9,1.0
MARTIN,Charleston GS,Charleston GS,2000-12-06,Single,2000-12-04,GS,49-2000,Charleston,9,1.0
MARTIN,Charleston GS,Charleston GS,2000-12-07,Single,2000-12-04,GS,49-2000,Charleston,9,1.0
MARTIN,Charleston GS,Charleston GS,2000-12-08,Single,2000-12-04,GS,49-2000,Charleston,9,1.0
MCKELLAR,Charleston CP,Charleston CP,2000-12-04,Single,2000-12-04,CP,49-2000,Charleston,9,1.0
