JudgeName,FullAssignment,Week,Assignment,County
PEEPLES,in chambers,52-2000,in chambers,na
PIEPER,in chambers,52-2000,in chambers,na
RAWL,in chambers,52-2000,in chambers,na
SAUNDERS,in chambers,52-2000,in chambers,na
SHORT,in chambers,52-2000,in chambers,na
THOMAS,in chambers,52-2000,in chambers,na
WATSON,in chambers,52-2000,in chambers,na
WESTBROOK,in chambers + 11th Cir. CPNJ 27 + X 29,52-2000,in chambers ,na
WILLIAMS,in chambers,52-2000,in chambers,na
BROWN,na,52-2000,na,na
COTTINGHAM,na,52-2000,na,na
HUGHSTON,na,52-2000,na,na
PYLE,na,52-2000,na,na
SMOAK,na,52-2000,na,na
COOPER GT,in chambers,52-2000,in chambers,na
NEWMAN,in chambers,52-2000,in chambers,na
SIMMONS,na,52-2000,na,na
GIER,na,52-2000,na,na
BERGDORF,na,52-2000,na,na
DENNIS,Berkeley CP + Charleston GS(SGJ) 8,49-2000, Charleston GS(SGJ) 8,Charleston
THOMAS,15th Cir. CPNJ + Horry GS CP CC 5,49-2000, Horry GS CP CC 5,Horry
SIMMONS,na,49-2000,na,na
GIER,na,49-2000,na,na
COOPER TW,Lee GS + Aiken GS CC 15,50-2000, Aiken GS CC 15,Aiken
DENNIS,Berkeley CP + Sumter GS(SGJ) + Charleston CP CC,50-2000, Sumter GS(SGJ) ,Sumter
MILLING,"4th Cir. CPNJ 11 + X 12,13,14,15",50-2000," X 12,13,14,15",na
SMOAK,Aiken GS CC + Barnwell GS CC + Bamberg GS,50-2000, Barnwell GS CC ,Barnwell
BERGDORF,na,50-2000,na,na
BREEDEN,"in chambers + 15th Cir. CPNJ 18,20",51-2000," 15th Cir. CPNJ 18,20",na
BROGDON,"in chambers + 12th Cir. CPNJ 18,19",51-2000," 12th Cir. CPNJ 18,19",na
BURCH,in chambers + Chesterfield GS 21,51-2000, Chesterfield GS 21,Chester
COOPER TW,"in chambers + 3rd Cir. CPNJ 20,21",51-2000," 3rd Cir. CPNJ 20,21",na
FEW,"in chambers + 13th Cir. CPNJ 20,21 + Greenville GS 19",51-2000," 13th Cir. CPNJ 20,21 ",na
GOODSTEIN,"in chambers + X 18,19,20,21",51-2000," X 18,19,20,21",na
GREGORY,in chambers + Orangeburg GS 18 + 14th Cir. CPNJ 20,51-2000, Orangeburg GS 18 ,Orangeburg
HALL,in chambers + Anderson GS 19,51-2000, Anderson GS 19,Anderson
HARWELL,in chambers + Florence GS 20,51-2000, Florence GS 20,Florence
KINARD,in chambers + 5th Cir. CPNJ 20 + 8th Cir. Cap.PCR 21,51-2000, 5th Cir. CPNJ 20 ,na
KING,"in chambers + 3rd Cir. CPNJ 20,21",51-2000," 3rd Cir. CPNJ 20,21",na
KITTREDGE,"in chambers + X 18,19,20",51-2000," X 18,19,20",na
MILLING,"in chambers + X 18,19,20",51-2000," X 18,19,20",na
NICHOLSON,in chambers + 10th Cir. CPNJ 18 + 10th Cir. CPNJ 19 + Anderson GS CC 19,51-2000, 10th Cir. CPNJ 18 ,na
PIEPER,in chambers + 9th Cir. CPNJ 19,51-2000, 9th Cir. CPNJ 19,na
SAUNDERS,in chambers + 13th Cir. CPNJ 19,51-2000, 13th Cir. CPNJ 19,na
WESTBROOK,in chambers + 11th Cir. CPNJ 19,51-2000, 11th Cir. CPNJ 19,na
BROWN,na,51-2000,na,na
COTTINGHAM,na,51-2000,na,na
HUGHSTON,na,51-2000,na,na
PYLE,na,51-2000,na,na
SMOAK,na,51-2000,na,na
NEWMAN,in chambers + 3rd Cir. CPNJ 18,51-2000, 3rd Cir. CPNJ 18,na
GIER,na,51-2000,na,na
BERGDORF,na,51-2000,na,na
BROGDON,"in chambers + X 28,29",52-2000," X 28,29",na
BUCKNER,in chambers + 14th Cir. CPNJ 27,52-2000, 14th Cir. CPNJ 27,na
GOODSTEIN,in chambers + 15th Cir. CPNJ 27,52-2000, 15th Cir. CPNJ 27,na
KITTREDGE,in chambers + Greenville GS 29,52-2000, Greenville GS 29,Greenville
MCKELLAR,in chambers + 5th Cir. CPNJ 29,52-2000, 5th Cir. CPNJ 29,na
MILLING,in chambers + 4th Cir. CPNJ 28,52-2000, 4th Cir. CPNJ 28,na
WESTBROOK,in chambers + 11th Cir. CPNJ 27 + X 29,52-2000, 11th Cir. CPNJ 27 ,na
BROWN,na,52-2000,na,na
COTTINGHAM,na,52-2000,na,na
HUGHSTON,na,52-2000,na,na
PYLE,na,52-2000,na,na
SMOAK,na,52-2000,na,na
SIMMONS,na,52-2000,na,na
GIER,na,52-2000,na,na
BERGDORF,na,52-2000,na,na
SIMMONS,na,49-2000,na,na
GIER,na,49-2000,na,na
DENNIS,Berkeley CP + Sumter GS(SGJ) + Charleston CP CC,50-2000, Charleston CP CC,Charleston
SMOAK,Aiken GS CC + Barnwell GS CC + Bamberg GS,50-2000, Bamberg GS,Bamberg
BERGDORF,na,50-2000,na,na
FEW,"in chambers + 13th Cir. CPNJ 20,21 + Greenville GS 19",51-2000, Greenville GS 19,Greenville
GREGORY,in chambers + Orangeburg GS 18 + 14th Cir. CPNJ 20,51-2000, 14th Cir. CPNJ 20,na
KINARD,in chambers + 5th Cir. CPNJ 20 + 8th Cir. Cap.PCR 21,51-2000, 8th Cir. Cap.PCR 21,na
NICHOLSON,in chambers + 10th Cir. CPNJ 18 + 10th Cir. CPNJ 19 + Anderson GS CC 19,51-2000, 10th Cir. CPNJ 19 ,na
BROWN,na,51-2000,na,na
COTTINGHAM,na,51-2000,na,na
HUGHSTON,na,51-2000,na,na
PYLE,na,51-2000,na,na
SMOAK,na,51-2000,na,na
GIER,na,51-2000,na,na
BERGDORF,na,51-2000,na,na
WESTBROOK,in chambers + 11th Cir. CPNJ 27 + X 29,52-2000, X 29,na
BROWN,na,52-2000,na,na
COTTINGHAM,na,52-2000,na,na
HUGHSTON,na,52-2000,na,na
PYLE,na,52-2000,na,na
SMOAK,na,52-2000,na,na
SIMMONS,na,52-2000,na,na
GIER,na,52-2000,na,na
BERGDORF,na,52-2000,na,na
SIMMONS,na,49-2000,na,na
GIER,na,49-2000,na,na
BERGDORF,na,50-2000,na,na
NICHOLSON,in chambers + 10th Cir. CPNJ 18 + 10th Cir. CPNJ 19 + Anderson GS CC 19,51-2000, Anderson GS CC 19,Anderson
BROWN,na,51-2000,na,na
COTTINGHAM,na,51-2000,na,na
HUGHSTON,na,51-2000,na,na
PYLE,na,51-2000,na,na
SMOAK,na,51-2000,na,na
GIER,na,51-2000,na,na
BERGDORF,na,51-2000,na,na
BROWN,na,52-2000,na,na
COTTINGHAM,na,52-2000,na,na
HUGHSTON,na,52-2000,na,na
PYLE,na,52-2000,na,na
SMOAK,na,52-2000,na,na
SIMMONS,na,52-2000,na,na
GIER,na,52-2000,na,na
BERGDORF,na,52-2000,na,na
SIMMONS,na,49-2000,na,na
GIER,na,49-2000,na,na
BERGDORF,na,50-2000,na,na
BROWN,na,51-2000,na,na
COTTINGHAM,na,51-2000,na,na
HUGHSTON,na,51-2000,na,na
PYLE,na,51-2000,na,na
SMOAK,na,51-2000,na,na
GIER,na,51-2000,na,na
BERGDORF,na,51-2000,na,na
BROWN,na,52-2000,na,na
COTTINGHAM,na,52-2000,na,na
HUGHSTON,na,52-2000,na,na
PYLE,na,52-2000,na,na
SMOAK,na,52-2000,na,na
SIMMONS,na,52-2000,na,na
GIER,na,52-2000,na,na
BERGDORF,na,52-2000,na,na
ALFORD,York GS,32-2000,York GS,York
BARBER,X,32-2000,X,na
BAXLEY,Charleston GS,32-2000,Charleston GS,Charleston
BEATTY,Spartanburg GS,32-2000,Spartanburg GS,Spartanburg
BREEDEN,Horry GS,32-2000,Horry GS,Horry
BROGDON,Florence GS,32-2000,Florence GS,Florence
BUCKNER,Richland CP,32-2000,Richland CP,Richland
BURCH,X,32-2000,X,na
CLARY,Spartanburg GS,32-2000,Spartanburg GS,Spartanburg
COLE,X,32-2000,X,na
COOPER TW,Sumter GS,32-2000,Sumter GS,Sumter
DENNIS,9th Cir. CPNJ,32-2000,9th Cir. CPNJ,na
FEW,Beaufort GS,32-2000,Beaufort GS,Beaufort
FLOYD H,Pickens CP,32-2000,Pickens CP,Pickens
FLOYD S,Horry GS,32-2000,Horry GS,Horry
GOODE,Fairfield GS,32-2000,Fairfield GS,Fairfield
GOODSTEIN,Orangeburg CP,32-2000,Orangeburg CP,Orangeburg
GREGORY,Beaufort CP,32-2000,Beaufort CP,Beaufort
HALL,10th Cir. CPNJ,32-2000,10th Cir. CPNJ,na
HARWELL,Florence GS,32-2000,Florence GS,Florence
HAYES,York GS,32-2000,York GS,York
JOHNSON,Newberry GS,32-2000,Newberry GS,Newberry
KEESLEY,Aiken GS,32-2000,Aiken GS,Aiken
KINARD,Richland GS,32-2000,Richland GS,Richland
KING,Clarendon CP,32-2000,Clarendon CP,Clarendon
KITTREDGE,Greenville GS,32-2000,Greenville GS,Greenville
LEE,X,32-2000,X,na
LOCKEMY,Military,32-2000,Military,na
MACAULAY,Darlington GS,32-2000,Darlington GS,Darlington
MANNING,Richland GS,32-2000,Richland GS,Richland
MARTIN,X,32-2000,X,na
MCKELLAR,Jasper CP,32-2000,Jasper CP,Jasper
MILLING,3rd Cir. CPNJ/PCR + Sumter GS CC 8,32-2000,3rd Cir. CPNJ/PCR ,na
NICHOLSON,Anderson CP,32-2000,Anderson CP,Anderson
PATTERSON,Greenville CP,32-2000,Greenville CP,Greenville
PEEPLES,11th Cir. CPNJ,32-2000,11th Cir. CPNJ,na
PIEPER,Charleston CP,32-2000,Charleston CP,Charleston
RAWL,Berkeley CP,32-2000,Berkeley CP,Berkeley
SAUNDERS,Sick,32-2000,Sick,na
SHORT,X,32-2000,X,na
THOMAS,Georgetown CP,32-2000,Georgetown CP,Georgetown
WATSON,X,32-2000,X,na
WESTBROOK,Lexington CP,32-2000,Lexington CP,Lexington
WILLIAMS,Dorchester CP ,32-2000,Dorchester CP ,Dorchester
BROWN,Colleton GS,32-2000,Colleton GS,Colleton
COTTINGHAM,na,32-2000,na,na
HUGHSTON,Greenville GS,32-2000,Greenville GS,Greenville
COUCH,na,32-2000,na,na
SMOAK,Charleston GS,32-2000,Charleston GS,Charleston
COOPER GT,Greenwood CP,32-2000,Greenwood CP,Greenwood
