JudgeName,FullAssignment,Week,Assignment
BEATTY,Fairfield GS,15-2001,Fairfield GS
BREEDEN,Richland GS,15-2001,Richland GS
BUCKNER,X,15-2001,X
BROGDON,X,15-2001,X
BURCH,12th Cir. AW,15-2001,12th Cir. AW
CLARY,X,15-2001,X
COLE,X,15-2001,X
COOPER GT,Lexington GS,15-2001,Lexington GS
COOPER TW,Richland GS,15-2001,Richland GS
DENNIS,X,15-2001,X
FEW,Spartanburg GS,15-2001,Spartanburg GS
FLOYD H,Pickens GS,15-2001,Pickens GS
FLOYD S,X,15-2001,X
GOODE,X,15-2001,X
GOODSTEIN,X,15-2001,X
GREGORY,Berkeley GS,15-2001,Berkeley GS
HALL,X,15-2001,X
HARWELL,Horry GS,15-2001,Horry GS
HAYES,Spartanburg GS,15-2001,Spartanburg GS
JOHNSON,Anderson GS,15-2001,Anderson GS
KEESLEY,11th Cir. CPNJ,15-2001,11th Cir. CPNJ
KINARD,Chesterfield GS,15-2001,Chesterfield GS
KING,York GS,15-2001,York GS
KITTREDGE,Oconee CP,15-2001,Oconee CP
LEE,5th Cir. AW,15-2001,5th Cir. AW
LOCKEMY,Charleston CP + Horry GS CC 9 ,15-2001,Charleston CP 
MACAULAY,X,15-2001,X
MANNING,Florence CP,15-2001,Florence CP
MARTIN,Colleton GS,15-2001,Colleton GS
MCKELLAR,X,15-2001,X
MILLING,X,15-2001,X
NEWMAN,Charleston GS,15-2001,Charleston GS
NICHOLSON,11th Cir. AW,15-2001,11th Cir. AW
PATTERSON,Greenville GS,15-2001,Greenville GS
PEEPLES,2nd Cir. CPNJ,15-2001,2nd Cir. CPNJ
PIEPER,9th Cir. AW + 9th Cir. CPNJ CC 11,15-2001,9th Cir. AW 
RAWL,Beaufort GS,15-2001,Beaufort GS
SAUNDERS,7th Cir. CPNJ,15-2001,7th Cir. CPNJ
SHORT,York GS,15-2001,York GS
THOMAS,Charleston GS,15-2001,Charleston GS
WATSON,Newberry GS,15-2001,Newberry GS
WESTBROOK,Richland GS,15-2001,Richland GS
WILLIAMS,Sumter GS,15-2001,Sumter GS
BROWN,Orangeburg GS,15-2001,Orangeburg GS
COTTINGHAM,"Marlboro GS 10,11",15-2001,"Marlboro GS 10,11"
HUGHSTON,Greenwood GS,15-2001,Greenwood GS
PYLE,Greenville GS,15-2001,Greenville GS
GIER,na,15-2001,na
COUCH,na,15-2001,na
SIMMONS,na,15-2001,na
YOUNG,Charleston CPNJ 13,15-2001,Charleston CPNJ 13
SMOAK,na,15-2001,na
WATTS,na,15-2001,na
ALFORD,Chester CP,16-2001,Chester CP
BARBER,Aiken GS,16-2001,Aiken GS
BAXLEY,Horry CP,16-2001,Horry CP
BEATTY,Fairfield GS,16-2001,Fairfield GS
BREEDEN,X,16-2001,X
BUCKNER,1st Cir. CPNJ,16-2001,1st Cir. CPNJ
BROGDON,"Horry GS 16,17,18,19 + X 20",16-2001,"Horry GS 16,17,18,19 "
BURCH,Florence CP,16-2001,Florence CP
CLARY,Greenwood GS,16-2001,Greenwood GS
COLE,7th Cir. AW,16-2001,7th Cir. AW
COOPER GT,13th Cir. CPNJ,16-2001,13th Cir. CPNJ
COOPER TW,5th Cir. CPNJ,16-2001,5th Cir. CPNJ
DENNIS,Dorchester CP,16-2001,Dorchester CP
FEW,Spartanburg GS,16-2001,Spartanburg GS
FLOYD H,"13th Cir. CPNJ 16 + Lexington GS 17,18,19,20",16-2001,13th Cir. CPNJ 16 
FLOYD S,"X 16,18,19,20 + Darlington GS 17",16-2001,"X 16,18,19,20 "
GOODE,Sumter CP + Sumter GS CC 19,16-2001,Sumter CP 
GOODSTEIN,"14th Cir. AW + 14th Cir. CPNJ CC 16,18,19,20",16-2001,14th Cir. AW 
GREGORY,Charleston GS,16-2001,Charleston GS
HALL,Greenville GS,16-2001,Greenville GS
HARWELL,Horry GS,16-2001,Horry GS
HAYES,Spartanburg CP,16-2001,Spartanburg CP
JOHNSON,Anderson GS,16-2001,Anderson GS
KEESLEY,Sick,16-2001,Sick
KINARD,Marlboro CP,16-2001,Marlboro CP
KING,Union GS,16-2001,Union GS
KITTREDGE,10th Cir. CPNJ,16-2001,10th Cir. CPNJ
LEE,X,16-2001,X
LOCKEMY,Charleston GS,16-2001,Charleston GS
MACAULAY,Richland GS,16-2001,Richland GS
MANNING,Florence GS + 5th Cir. CPNJ CC 20,16-2001,Florence GS 
MARTIN,Beaufort CP,16-2001,Beaufort CP
MCKELLAR,Williamsburg CP,16-2001,Williamsburg CP
MILLING,15th Cir. CPNJ,16-2001,15th Cir. CPNJ
NEWMAN,Berkeley CP,16-2001,Berkeley CP
NICHOLSON,11th Cir. CPNJ/PCR,16-2001,11th Cir. CPNJ/PCR
PATTERSON,13th Cir. AW,16-2001,13th Cir. AW
PEEPLES,Aiken CP,16-2001,Aiken CP
PIEPER,Charleston CP,16-2001,Charleston CP
RAWL,Beaufort GS,16-2001,Beaufort GS
SAUNDERS,Greenville GS,16-2001,Greenville GS
SHORT,16th Cir. CPNJ,16-2001,16th Cir. CPNJ
THOMAS,X,16-2001,X
WATSON,"X 16 + 8th Cir. CPNJ 17,18,19,20",16-2001,X 16 
WESTBROOK,Richland GS,16-2001,Richland GS
WILLIAMS,Sumter GS,16-2001,Sumter GS
BROWN,Orangeburg GS,16-2001,Orangeburg GS
COTTINGHAM,Georgetown GS,16-2001,Georgetown GS
HUGHSTON,Charleston CP,16-2001,Charleston CP
PYLE,na,16-2001,na
GIER,na,16-2001,na
COUCH,na,16-2001,na
SIMMONS,na,16-2001,na
YOUNG,Charleston CPNJ 20,16-2001,Charleston CPNJ 20
SMOAK,4th Cir. CPNJ,16-2001,4th Cir. CPNJ
WATTS,na,16-2001,na
ALFORD,X,17-2001,X
BARBER,Bamberg GS,17-2001,Bamberg GS
BAXLEY,15th Cir. CPNJ/PCR,17-2001,15th Cir. CPNJ/PCR
BEATTY,6th Cir. CPNJ/PCR,17-2001,6th Cir. CPNJ/PCR
BREEDEN,Richland GS,17-2001,Richland GS
BUCKNER,Hampton CP,17-2001,Hampton CP
BROGDON,Horry CP,17-2001,Horry CP
BURCH,Marion CP,17-2001,Marion CP
CLARY,Laurens GS,17-2001,Laurens GS
COLE,Spartanburg CP,17-2001,Spartanburg CP
COOPER GT,Lexington GS,17-2001,Lexington GS
COOPER TW,Richland CP,17-2001,Richland CP
DENNIS,Orangeburg CP,17-2001,Orangeburg CP
FEW,Spartanburg GS,17-2001,Spartanburg GS
FLOYD H,Pickens GS,17-2001,Pickens GS
FLOYD S,Darlington GS,17-2001,Darlington GS
GOODE,York GS,17-2001,York GS
GOODSTEIN,Beaufort CP,17-2001,Beaufort CP
GREGORY,9th Cir. CPNJ,17-2001,9th Cir. CPNJ
HALL,Greenville CP,17-2001,Greenville CP
HARWELL,Florence GS,17-2001,Florence GS
HAYES,Spartanburg GS,17-2001,Spartanburg GS
JOHNSON,Anderson CP,17-2001,Anderson CP
KEESLEY,"Lexington CP 23,24 + Edgefield CP 25,26,27",17-2001,"Lexington CP 23,24 "
KINARD,XX,17-2001,XX
KING,York GS,17-2001,York GS
KITTREDGE,Oconee GS,17-2001,Oconee GS
LEE,Richland GS,17-2001,Richland GS
LOCKEMY,5th Cir. CPNJ + Richland GS CC 27,17-2001,5th Cir. CPNJ 
MACAULAY,5th Cir. CPNJ,17-2001,5th Cir. CPNJ
MANNING,Florence GS,17-2001,Florence GS
MARTIN,Allendale GS,17-2001,Allendale GS
MCKELLAR,Lee GS,17-2001,Lee GS
MILLING,Horry CP,17-2001,Horry CP
NEWMAN,Berkeley CP,17-2001,Berkeley CP
NICHOLSON,"Lexington CP 25,26,27 + Edgefield CP 23,24",17-2001,"Lexington CP 25,26,27 "
PATTERSON,Greenville CP,17-2001,Greenville CP
PEEPLES,Aiken CP,17-2001,Aiken CP
PIEPER,Charleston CP,17-2001,Charleston CP
RAWL,Colleton GS + Charleston GS,17-2001,Colleton GS 
SAUNDERS,13th Cir. CPNJ,17-2001,13th Cir. CPNJ
SHORT,X,17-2001,X
THOMAS,Charleston CP + Horry GS CC 27,17-2001,Charleston CP 
WATSON,13th Cir. CPNJ,17-2001,13th Cir. CPNJ
WESTBROOK,Richland GS,17-2001,Richland GS
WILLIAMS,Sumter CP,17-2001,Sumter CP
BROWN,Dorchester GS,17-2001,Dorchester GS
COTTINGHAM,Georgetown GS,17-2001,Georgetown GS
HUGHSTON,na,17-2001,na
PYLE,na,17-2001,na
GIER,York CPNJ 26,17-2001,York CPNJ 26
COUCH,7th Cir. CPNJ,17-2001,7th Cir. CPNJ
SIMMONS,"Greenville GS 25,27",17-2001,"Greenville GS 25,27"
YOUNG,na,17-2001,na
SMOAK,na,17-2001,na
WATTS,na,17-2001,na
ALFORD,Lancaster GS,18-2001,Lancaster GS
BARBER,Aiken GS CC + 2nd Cir. CP/PCR,18-2001,Aiken GS CC 
BAXLEY,Georgetown CP,18-2001,Georgetown CP
BEATTY,X,18-2001,X
BREEDEN,Georgetown CP + Horry CP,18-2001,Georgetown CP 
BUCKNER,Orangeburg CP,18-2001,Orangeburg CP
BROGDON,Horry CP,18-2001,Horry CP
BURCH,Florence GS,18-2001,Florence GS
CLARY,Laurens GS,18-2001,Laurens GS
COLE,Spartanburg CP,18-2001,Spartanburg CP
COOPER GT,Lexington CP,18-2001,Lexington CP
COOPER TW,Kershaw CP,18-2001,Kershaw CP
DENNIS,Dorchester GS,18-2001,Dorchester GS
FEW,Anderson CP,18-2001,Anderson CP
FLOYD H,13th Cir. CPNJ/PCR,18-2001,13th Cir. CPNJ/PCR
FLOYD S,Marion GS,18-2001,Marion GS
GOODE,Clarendon CP,18-2001,Clarendon CP
GOODSTEIN,Jasper CP,18-2001,Jasper CP
GREGORY,Charleston CP,18-2001,Charleston CP
HALL,Greenville CP,18-2001,Greenville CP
HARWELL,15th Cir. CPNJ,18-2001,15th Cir. CPNJ
HAYES,Cherokee CP,18-2001,Cherokee CP
JOHNSON,10th Cir. CPNJ,18-2001,10th Cir. CPNJ
KEESLEY,Richland CP,18-2001,Richland CP
KINARD,Marlboro GS,18-2001,Marlboro GS
KING,York CP,18-2001,York CP
KITTREDGE,Anderson CP,18-2001,Anderson CP
LEE,Richland CP,18-2001,Richland CP
LOCKEMY,Berkeley GS + Richland GS CC 2,18-2001,Berkeley GS 
MACAULAY,Richland GS,18-2001,Richland GS
MANNING,Florence GS,18-2001,Florence GS
MARTIN,Beaufort CP,18-2001,Beaufort CP
MCKELLAR,Lee GS,18-2001,Lee GS
MILLING,Horry CP,18-2001,Horry CP
NEWMAN,9th Cir. CPNJ,18-2001,9th Cir. CPNJ
NICHOLSON,Saluda GS,18-2001,Saluda GS
PATTERSON,Pickens CP,18-2001,Pickens CP
PEEPLES,Aiken CP,18-2001,Aiken CP
PIEPER,Charleston CP,18-2001,Charleston CP
RAWL,X,18-2001,X
SAUNDERS,13th Cir. CPNJ,18-2001,13th Cir. CPNJ
SHORT,Union CP,18-2001,Union CP
THOMAS,Charleston GS,18-2001,Charleston GS
WATSON,Abbeville GS,18-2001,Abbeville GS
WESTBROOK,Richland GS,18-2001,Richland GS
WILLIAMS,Sumter CP,18-2001,Sumter CP
BROWN,na,18-2001,na
COTTINGHAM,na,18-2001,na
HUGHSTON,Charleston GS,18-2001,Charleston GS
PYLE,na,18-2001,na
GIER,na,18-2001,na
COUCH,na,18-2001,na
SIMMONS,Greenville GS 4,18-2001,Greenville GS 4
YOUNG,Charleston CPNJ 4,18-2001,Charleston CPNJ 4
SMOAK,Lexington CP,18-2001,Lexington CP
WATTS,"Dorchester CPNJ 30,1,2,3",18-2001,"Dorchester CPNJ 30,1,2,3"
BURCH,in chambers + 12th Cir. CPNJ 5,14-2001, 12th Cir. CPNJ 5
CLARY,8th Cir. CPNJ CC 3 + Spartanburg GS 3 + Lexington GS 5,14-2001, Spartanburg GS 3 
COLE,"in chambers + 7th Cir. CPNJ 2,5",14-2001," 7th Cir. CPNJ 2,5"
DENNIS,"in chambers + 1st Cir. CPNJ 4,5",14-2001," 1st Cir. CPNJ 4,5"
JOHNSON,in chambers + 10th Cir. CPNJ 4,14-2001, 10th Cir. CPNJ 4
KITTREDGE,in chambers + 10th Cir. CPNJ 6 + Medical 2,14-2001, 10th Cir. CPNJ 6 
LOCKEMY,in chambers + 4th Cir. CPNJ 4,14-2001, 4th Cir. CPNJ 4
MCKELLAR,in chambers + 5th Cir. CPNJ 3,14-2001, 5th Cir. CPNJ 3
MILLING,in chambers + 15th Cir. CPNJ 2,14-2001, 15th Cir. CPNJ 2
NEWMAN,in chambers + 3rd Cir. CPNJ 5,14-2001, 3rd Cir. CPNJ 5
PIEPER,in chambers + 9th Cir. CPNJ 2 + Charleston GS CC 2,14-2001, 9th Cir. CPNJ 2 
THOMAS,in chambers + Horry GS 3,14-2001, Horry GS 3
WATSON,in chambers + 13th Cir. CPNJ 2,14-2001, 13th Cir. CPNJ 2
WESTBROOK,"in chambers + Richland GS 2,3,4,5",14-2001," Richland GS 2,3,4,5"
WILLIAMS,in chambers + 1st Cir. CPNJ 2,14-2001, 1st Cir. CPNJ 2
BROWN,na,14-2001,na
COTTINGHAM,na,14-2001,na
HUGHSTON,na,14-2001,na
PYLE,na,14-2001,na
GIER,na,14-2001,na
COUCH,na,14-2001,na
SMOAK,na,14-2001,na
WATTS,na,14-2001,na
LOCKEMY,Charleston CP + Horry GS CC 9 ,15-2001, Horry GS CC 9 
PIEPER,9th Cir. AW + 9th Cir. CPNJ CC 11,15-2001, 9th Cir. CPNJ CC 11
GIER,na,15-2001,na
COUCH,na,15-2001,na
SIMMONS,na,15-2001,na
SMOAK,na,15-2001,na
WATTS,na,15-2001,na
BROGDON,"Horry GS 16,17,18,19 + X 20",16-2001, X 20
FLOYD H,"13th Cir. CPNJ 16 + Lexington GS 17,18,19,20",16-2001," Lexington GS 17,18,19,20"
FLOYD S,"X 16,18,19,20 + Darlington GS 17",16-2001, Darlington GS 17
GOODE,Sumter CP + Sumter GS CC 19,16-2001, Sumter GS CC 19
GOODSTEIN,"14th Cir. AW + 14th Cir. CPNJ CC 16,18,19,20",16-2001," 14th Cir. CPNJ CC 16,18,19,20"
MANNING,Florence GS + 5th Cir. CPNJ CC 20,16-2001, 5th Cir. CPNJ CC 20
WATSON,"X 16 + 8th Cir. CPNJ 17,18,19,20",16-2001," 8th Cir. CPNJ 17,18,19,20"
PYLE,na,16-2001,na
GIER,na,16-2001,na
COUCH,na,16-2001,na
SIMMONS,na,16-2001,na
WATTS,na,16-2001,na
KEESLEY,"Lexington CP 23,24 + Edgefield CP 25,26,27",17-2001," Edgefield CP 25,26,27"
LOCKEMY,5th Cir. CPNJ + Richland GS CC 27,17-2001, Richland GS CC 27
NICHOLSON,"Lexington CP 25,26,27 + Edgefield CP 23,24",17-2001," Edgefield CP 23,24"
RAWL,Colleton GS + Charleston GS,17-2001, Charleston GS
THOMAS,Charleston CP + Horry GS CC 27,17-2001, Horry GS CC 27
HUGHSTON,na,17-2001,na
PYLE,na,17-2001,na
YOUNG,na,17-2001,na
SMOAK,na,17-2001,na
WATTS,na,17-2001,na
BARBER,Aiken GS CC + 2nd Cir. CP/PCR,18-2001, 2nd Cir. CP/PCR
BREEDEN,Georgetown CP + Horry CP,18-2001, Horry CP
LOCKEMY,Berkeley GS + Richland GS CC 2,18-2001, Richland GS CC 2
BROWN,na,18-2001,na
COTTINGHAM,na,18-2001,na
PYLE,na,18-2001,na
GIER,na,18-2001,na
COUCH,na,18-2001,na
CLARY,8th Cir. CPNJ CC 3 + Spartanburg GS 3 + Lexington GS 5,14-2001, Lexington GS 5
KITTREDGE,in chambers + 10th Cir. CPNJ 6 + Medical 2,14-2001, Medical 2
PIEPER,in chambers + 9th Cir. CPNJ 2 + Charleston GS CC 2,14-2001, Charleston GS CC 2
BROWN,na,14-2001,na
COTTINGHAM,na,14-2001,na
HUGHSTON,na,14-2001,na
PYLE,na,14-2001,na
GIER,na,14-2001,na
COUCH,na,14-2001,na
SMOAK,na,14-2001,na
WATTS,na,14-2001,na
GIER,na,15-2001,na
COUCH,na,15-2001,na
SIMMONS,na,15-2001,na
SMOAK,na,15-2001,na
WATTS,na,15-2001,na
PYLE,na,16-2001,na
GIER,na,16-2001,na
COUCH,na,16-2001,na
SIMMONS,na,16-2001,na
WATTS,na,16-2001,na
HUGHSTON,na,17-2001,na
PYLE,na,17-2001,na
YOUNG,na,17-2001,na
SMOAK,na,17-2001,na
WATTS,na,17-2001,na
BROWN,na,18-2001,na
COTTINGHAM,na,18-2001,na
PYLE,na,18-2001,na
GIER,na,18-2001,na
COUCH,na,18-2001,na
BROWN,na,14-2001,na
COTTINGHAM,na,14-2001,na
HUGHSTON,na,14-2001,na
PYLE,na,14-2001,na
GIER,na,14-2001,na
COUCH,na,14-2001,na
SMOAK,na,14-2001,na
WATTS,na,14-2001,na
GIER,na,15-2001,na
COUCH,na,15-2001,na
SIMMONS,na,15-2001,na
SMOAK,na,15-2001,na
WATTS,na,15-2001,na
PYLE,na,16-2001,na
GIER,na,16-2001,na
COUCH,na,16-2001,na
SIMMONS,na,16-2001,na
WATTS,na,16-2001,na
HUGHSTON,na,17-2001,na
PYLE,na,17-2001,na
YOUNG,na,17-2001,na
SMOAK,na,17-2001,na
WATTS,na,17-2001,na
BROWN,na,18-2001,na
COTTINGHAM,na,18-2001,na
PYLE,na,18-2001,na
GIER,na,18-2001,na
COUCH,na,18-2001,na
BROWN,na,14-2001,na
COTTINGHAM,na,14-2001,na
HUGHSTON,na,14-2001,na
PYLE,na,14-2001,na
GIER,na,14-2001,na
COUCH,na,14-2001,na
SMOAK,na,14-2001,na
WATTS,na,14-2001,na
GIER,na,15-2001,na
COUCH,na,15-2001,na
SIMMONS,na,15-2001,na
SMOAK,na,15-2001,na
WATTS,na,15-2001,na
PYLE,na,16-2001,na
GIER,na,16-2001,na
COUCH,na,16-2001,na
SIMMONS,na,16-2001,na
WATTS,na,16-2001,na
HUGHSTON,na,17-2001,na
PYLE,na,17-2001,na
YOUNG,na,17-2001,na
SMOAK,na,17-2001,na
WATTS,na,17-2001,na
BROWN,na,18-2001,na
COTTINGHAM,na,18-2001,na
PYLE,na,18-2001,na
GIER,na,18-2001,na
COUCH,na,18-2001,na
ALFORD,in chambers + 7th Cir. CP/PCR,19-2001,in chambers 
BARBER,in chambers,19-2001,in chambers
BAXLEY,in chambers,19-2001,in chambers
BEATTY,in chambers,19-2001,in chambers
BREEDEN,in chambers,19-2001,in chambers
BROGDON,in chambers + Horry GS 9,19-2001,in chambers 
BUCKNER,in chambers,19-2001,in chambers
BURCH,in chambers,19-2001,in chambers
CLARY,in chambers,19-2001,in chambers
COLE,in chambers,19-2001,in chambers
COOPER GT,in chambers,19-2001,in chambers
COOPER TW,in chambers,19-2001,in chambers
DENNIS,in chambers + 9th Cir. CPNJ 7 + 1st Cir. CPNJ 8 + 9th Cir. CPNJ 8 + 1st Cir. CPNJ 9,19-2001,in chambers 
FEW,Greenville GS 7,19-2001,Greenville GS 7
FLOYD H,in chambers,19-2001,in chambers
FLOYD S,in chambers,19-2001,in chambers
GOODE,in chambers,19-2001,in chambers
GOODSTEIN,in chambers + 14th Cir. CPNJ 7,19-2001,in chambers 
GREGORY,in chambers,19-2001,in chambers
HALL,in chambers,19-2001,in chambers
HARWELL,in chambers,19-2001,in chambers
HAYES,in chambers,19-2001,in chambers
JOHNSON,in chambers,19-2001,in chambers
KEESLEY,in chambers,19-2001,in chambers
KINARD,in chambers + 8th Cir. CPNJ/PCR 7,19-2001,in chambers 
KING,in chambers + Clarendon GS 8 + 3rd Cir. CPNJ 8,19-2001,in chambers 
KITTREDGE,in chambers,19-2001,in chambers
LEE,in chambers + 5th Cir. CPNJ 8,19-2001,in chambers 
LOCKEMY,in chambers,19-2001,in chambers
MACAULAY,in chambers,19-2001,in chambers
MANNING,in chambers + 5th Cir. CPNJ 7,19-2001,in chambers 
MARTIN,in chambers,19-2001,in chambers
MCKELLAR,in chambers + 5th Cir. CPNJ 8,19-2001,in chambers 
MILLING,in chambers,19-2001,in chambers
NEWMAN,in chambers,19-2001,in chambers
NICHOLSON,in chambers,19-2001,in chambers
PATTERSON,in chambers + Greenville GS(SGJ) 7 + 13th Cir. CPNJ 8,19-2001,in chambers 
PEEPLES,in chambers + Lancaster 8,19-2001,in chambers 
PIEPER,in chambers,19-2001,in chambers
RAWL,in chambers + 9th Cir. CPNJ 8,19-2001,in chambers 
SAUNDERS,in chambers,19-2001,in chambers
SHORT,in chambers,19-2001,in chambers
THOMAS,in chambers,19-2001,in chambers
WATSON,in chambers,19-2001,in chambers
WESTBROOK,"in chambers + Richland GS 7,8",19-2001,in chambers 
WILLIAMS,in chambers,19-2001,in chambers
BROWN,na,19-2001,na
COTTINGHAM,na,19-2001,na
HUGHSTON,na,19-2001,na
PYLE,na,19-2001,na
SMOAK,na,19-2001,na
GIER,York CPNJ 10,19-2001,York CPNJ 10
SIMMONS,Greenville GS 11,19-2001,Greenville GS 11
YOUNG,Charleston CPNJ 11,19-2001,Charleston CPNJ 11
ALFORD,Lancaster GS,20-2001,Lancaster GS
BARBER,Aiken GS,20-2001,Aiken GS
BAXLEY,Horry GS,20-2001,Horry GS
BEATTY,York GS,20-2001,York GS
BREEDEN,Kershaw GS,20-2001,Kershaw GS
BROGDON,Horry GS,20-2001,Horry GS
BUCKNER,Hampton CP,20-2001,Hampton CP
BURCH,Florence CP,20-2001,Florence CP
CLARY,Newberry GS,20-2001,Newberry GS
COLE,Spartanburg GS,20-2001,Spartanburg GS
COOPER GT,Lexington GS,20-2001,Lexington GS
COOPER TW,5th Cir. CPNJ,20-2001,5th Cir. CPNJ
DENNIS,Calhoun CP + Kershaw GS CC 17,20-2001,Calhoun CP 
FEW,7th Cir. CPNJ/PCR + Spartanburg GS CC,20-2001,7th Cir. CPNJ/PCR 
FLOYD H,Greenville GS,20-2001,Greenville GS
FLOYD S,Chesterfield GS,20-2001,Chesterfield GS
GOODE,Clarendon GS,20-2001,Clarendon GS
GOODSTEIN,Charleston CP,20-2001,Charleston CP
GREGORY,9th Cir. CPNJ/PCR,20-2001,9th Cir. CPNJ/PCR
HALL,Greenville GS,20-2001,Greenville GS
HARWELL,12th Cir. CPNJ,20-2001,12th Cir. CPNJ
HAYES,Charleston CP,20-2001,Charleston CP
JOHNSON,Anderson GS,20-2001,Anderson GS
KEESLEY,11th Cir. CPNJ,20-2001,11th Cir. CPNJ
KINARD,Darlington CP,20-2001,Darlington CP
KING,York GS,20-2001,York GS
KITTREDGE,Anderson GS,20-2001,Anderson GS
LEE,Richland CP,20-2001,Richland CP
LOCKEMY,Richland CP + Richland GS CC 18,20-2001,Richland CP 
MACAULAY,Richland GS,20-2001,Richland GS
MANNING,Marion GS  + 5th Cir. CPNJ CC 14,20-2001,Marion GS  
MARTIN,Beaufort GS,20-2001,Beaufort GS
MCKELLAR,3rd Cir. CPNJ,20-2001,3rd Cir. CPNJ
MILLING,15th Cir. CPNJ,20-2001,15th Cir. CPNJ
NEWMAN,Lexington CP,20-2001,Lexington CP
NICHOLSON,X,20-2001,X
PATTERSON,Pickens CP,20-2001,Pickens CP
PEEPLES,2nd Cir. CPNJ,20-2001,2nd Cir. CPNJ
PIEPER,Charleston GS,20-2001,Charleston GS
RAWL,"Colleton GS 14,15,16 + X 17,18",20-2001,"Colleton GS 14,15,16 "
SAUNDERS,X,20-2001,X
SHORT,"X 15,16,17,18 + Williamsburg GS 14",20-2001,"X 15,16,17,18 "
THOMAS,"Charleston GS + Horry GS CC 17,18",20-2001,Charleston GS 
WATSON,Greenwood GS,20-2001,Greenwood GS
WESTBROOK,Richland GS,20-2001,Richland GS
WILLIAMS,"Williamsburg GS 16,17,18 + Medical 14,15",20-2001,"Williamsburg GS 16,17,18 "
BROWN,Orangeburg GS,20-2001,Orangeburg GS
COTTINGHAM,15th Cir. CPNJ,20-2001,15th Cir. CPNJ
HUGHSTON,Charleston CP,20-2001,Charleston CP
PYLE,na,20-2001,na
SMOAK,10th Cir. CPNJ,20-2001,10th Cir. CPNJ
GIER,na,20-2001,na
SIMMONS,"13th Cir. CPNJ 14,16",20-2001,"13th Cir. CPNJ 14,16"
YOUNG,na,20-2001,na
ALFORD,Lancaster GS,21-2001,Lancaster GS
BARBER,Aiken GS,21-2001,Aiken GS
BAXLEY,X,21-2001,X
BEATTY,6th Cir. CPNJ,21-2001,6th Cir. CPNJ
BREEDEN,Kershaw GS,21-2001,Kershaw GS
BROGDON,Horry GS,21-2001,Horry GS
BUCKNER,Hampton CP,21-2001,Hampton CP
BURCH,Florence CP,21-2001,Florence CP
CLARY,Abbeville CP,21-2001,Abbeville CP
COLE,Spartanburg GS,21-2001,Spartanburg GS
COOPER GT,Edgefield CP,21-2001,Edgefield CP
COOPER TW,Richland GS,21-2001,Richland GS
DENNIS,Dorchester GS,21-2001,Dorchester GS
FEW,Greenville GS,21-2001,Greenville GS
FLOYD H,Pickens GS,21-2001,Pickens GS
FLOYD S,Darlington GS,21-2001,Darlington GS
GOODE,Clarendon GS,21-2001,Clarendon GS
GOODSTEIN,Allendale CP,21-2001,Allendale CP
GREGORY,X,21-2001,X
HALL,Greenville GS,21-2001,Greenville GS
HARWELL,12th Cir. CPNJ,21-2001,12th Cir. CPNJ
HAYES,7th Cir. CPNJ,21-2001,7th Cir. CPNJ
JOHNSON,X,21-2001,X
KEESLEY,Lexington GS,21-2001,Lexington GS
KINARD,4th Cir. CPNJ,21-2001,4th Cir. CPNJ
KING,York CP,21-2001,York CP
KITTREDGE,"Anderson GS 21,22,23 + Medical 24,25",21-2001,"Anderson GS 21,22,23 "
LEE,Richland CP,21-2001,Richland CP
LOCKEMY,9th Cir. CPNJ,21-2001,9th Cir. CPNJ
MACAULAY,5th Cir. CPNJ,21-2001,5th Cir. CPNJ
MANNING,"Marion GS 21,22,23 + X 24,25",21-2001,"Marion GS 21,22,23 "
MARTIN,Beaufort CP,21-2001,Beaufort CP
MCKELLAR,Sumter CP,21-2001,Sumter CP
MILLING,Horry CP,21-2001,Horry CP
NEWMAN,Richland CP,21-2001,Richland CP
NICHOLSON,Lexington CP,21-2001,Lexington CP
PATTERSON,Pickens CP,21-2001,Pickens CP
PEEPLES,Bamberg CP,21-2001,Bamberg CP
PIEPER,Berkeley CP,21-2001,Berkeley CP
RAWL,14th Cir. CPNJ,21-2001,14th Cir. CPNJ
SAUNDERS,X,21-2001,X
SHORT,Union GS,21-2001,Union GS
THOMAS,Berkeley GS,21-2001,Berkeley GS
WATSON,Greenwood GS,21-2001,Greenwood GS
WESTBROOK,Richland GS,21-2001,Richland GS
WILLIAMS,Williamsburg GS,21-2001,Williamsburg GS
BROWN,Orangeburg GS,21-2001,Orangeburg GS
COTTINGHAM,Charleston CP,21-2001,Charleston CP
HUGHSTON,Charleston CP,21-2001,Charleston CP
PYLE,Greenville CP,21-2001,Greenville CP
SMOAK,Beaufort GS,21-2001,Beaufort GS
GIER,York CPNJ 24,21-2001,York CPNJ 24
SIMMONS,"13th Cir. CPNJ 22,23",21-2001,"13th Cir. CPNJ 22,23"
YOUNG,Charleston CPNJ 25,21-2001,Charleston CPNJ 25
ALFORD,Fairfield CP,22-2001,Fairfield CP
BARBER,Kershaw CP,22-2001,Kershaw CP
BAXLEY,Georgetown GS,22-2001,Georgetown GS
BEATTY,Chester CP,22-2001,Chester CP
BREEDEN,5th Cir. CPNJ,22-2001,5th Cir. CPNJ
BROGDON,Horry CP,22-2001,Horry CP
BUCKNER,Barnwell CP,22-2001,Barnwell CP
BURCH,Florence CP,22-2001,Florence CP
CLARY,Laurens GS,22-2001,Laurens GS
COLE,Spartanburg CP,22-2001,Spartanburg CP
COOPER GT,11th Cir. CPNJ,22-2001,11th Cir. CPNJ
