JudgeName,FullAssignment,Week,Assignment
SAUNDERS,in chambers,52-2000,in chambers
SHORT,in chambers,52-2000,in chambers
THOMAS,in chambers,52-2000,in chambers
WATSON,in chambers,52-2000,in chambers
WESTBROOK,in chambers + 11th Cir. CPNJ 27 + X 29,52-2000,in chambers 
WILLIAMS,in chambers,52-2000,in chambers
BROWN,na,52-2000,na
COTTINGHAM,na,52-2000,na
HUGHSTON,na,52-2000,na
PYLE,na,52-2000,na
SMOAK,na,52-2000,na
COOPER GT,in chambers,52-2000,in chambers
NEWMAN,in chambers,52-2000,in chambers
SIMMONS,na,52-2000,na
GIER,na,52-2000,na
BERGDORF,na,52-2000,na
DENNIS,Berkeley CP + Charleston GS(SGJ) 8,49-2000, Charleston GS(SGJ) 8
THOMAS,15th Cir. CPNJ + Horry GS CP CC 5,49-2000, Horry GS CP CC 5
SIMMONS,na,49-2000,na
GIER,na,49-2000,na
COOPER TW,Lee GS + Aiken GS CC 15,50-2000, Aiken GS CC 15
DENNIS,Berkeley CP + Sumter GS(SGJ) + Charleston CP CC,50-2000, Sumter GS(SGJ) 
MILLING,"4th Cir. CPNJ 11 + X 12,13,14,15",50-2000," X 12,13,14,15"
SMOAK,Aiken GS CC + Barnwell GS CC + Bamberg GS,50-2000, Barnwell GS CC 
BERGDORF,na,50-2000,na
BREEDEN,"in chambers + 15th Cir. CPNJ 18,20",51-2000," 15th Cir. CPNJ 18,20"
BROGDON,"in chambers + 12th Cir. CPNJ 18,19",51-2000," 12th Cir. CPNJ 18,19"
BURCH,in chambers + Chesterfield GS 21,51-2000, Chesterfield GS 21
COOPER TW,"in chambers + 3rd Cir. CPNJ 20,21",51-2000," 3rd Cir. CPNJ 20,21"
FEW,"in chambers + 13th Cir. CPNJ 20,21 + Greenville GS 19",51-2000," 13th Cir. CPNJ 20,21 "
GOODSTEIN,"in chambers + X 18,19,20,21",51-2000," X 18,19,20,21"
GREGORY,in chambers + Orangeburg GS 18 + 14th Cir. CPNJ 20,51-2000, Orangeburg GS 18 
HALL,in chambers + Anderson GS 19,51-2000, Anderson GS 19
HARWELL,in chambers + Florence GS 20,51-2000, Florence GS 20
KINARD,in chambers + 5th Cir. CPNJ 20 + 8th Cir. Cap.PCR 21,51-2000, 5th Cir. CPNJ 20 
KING,"in chambers + 3rd Cir. CPNJ 20,21",51-2000," 3rd Cir. CPNJ 20,21"
KITTREDGE,"in chambers + X 18,19,20",51-2000," X 18,19,20"
MILLING,"in chambers + X 18,19,20",51-2000," X 18,19,20"
NICHOLSON,in chambers + 10th Cir. CPNJ 18 + 10th Cir. CPNJ 19 + Anderson GS CC 19,51-2000, 10th Cir. CPNJ 18 
PIEPER,in chambers + 9th Cir. CPNJ 19,51-2000, 9th Cir. CPNJ 19
SAUNDERS,in chambers + 13th Cir. CPNJ 19,51-2000, 13th Cir. CPNJ 19
WESTBROOK,in chambers + 11th Cir. CPNJ 19,51-2000, 11th Cir. CPNJ 19
BROWN,na,51-2000,na
COTTINGHAM,na,51-2000,na
HUGHSTON,na,51-2000,na
PYLE,na,51-2000,na
SMOAK,na,51-2000,na
NEWMAN,in chambers + 3rd Cir. CPNJ 18,51-2000, 3rd Cir. CPNJ 18
GIER,na,51-2000,na
BERGDORF,na,51-2000,na
BROGDON,"in chambers + X 28,29",52-2000," X 28,29"
BUCKNER,in chambers + 14th Cir. CPNJ 27,52-2000, 14th Cir. CPNJ 27
GOODSTEIN,in chambers + 15th Cir. CPNJ 27,52-2000, 15th Cir. CPNJ 27
KITTREDGE,in chambers + Greenville GS 29,52-2000, Greenville GS 29
MCKELLAR,in chambers + 5th Cir. CPNJ 29,52-2000, 5th Cir. CPNJ 29
MILLING,in chambers + 4th Cir. CPNJ 28,52-2000, 4th Cir. CPNJ 28
WESTBROOK,in chambers + 11th Cir. CPNJ 27 + X 29,52-2000, 11th Cir. CPNJ 27 
BROWN,na,52-2000,na
COTTINGHAM,na,52-2000,na
HUGHSTON,na,52-2000,na
PYLE,na,52-2000,na
SMOAK,na,52-2000,na
SIMMONS,na,52-2000,na
GIER,na,52-2000,na
BERGDORF,na,52-2000,na
SIMMONS,na,49-2000,na
GIER,na,49-2000,na
DENNIS,Berkeley CP + Sumter GS(SGJ) + Charleston CP CC,50-2000, Charleston CP CC
SMOAK,Aiken GS CC + Barnwell GS CC + Bamberg GS,50-2000, Bamberg GS
BERGDORF,na,50-2000,na
FEW,"in chambers + 13th Cir. CPNJ 20,21 + Greenville GS 19",51-2000, Greenville GS 19
GREGORY,in chambers + Orangeburg GS 18 + 14th Cir. CPNJ 20,51-2000, 14th Cir. CPNJ 20
KINARD,in chambers + 5th Cir. CPNJ 20 + 8th Cir. Cap.PCR 21,51-2000, 8th Cir. Cap.PCR 21
NICHOLSON,in chambers + 10th Cir. CPNJ 18 + 10th Cir. CPNJ 19 + Anderson GS CC 19,51-2000, 10th Cir. CPNJ 19 
BROWN,na,51-2000,na
COTTINGHAM,na,51-2000,na
HUGHSTON,na,51-2000,na
PYLE,na,51-2000,na
SMOAK,na,51-2000,na
GIER,na,51-2000,na
BERGDORF,na,51-2000,na
WESTBROOK,in chambers + 11th Cir. CPNJ 27 + X 29,52-2000, X 29
BROWN,na,52-2000,na
COTTINGHAM,na,52-2000,na
HUGHSTON,na,52-2000,na
PYLE,na,52-2000,na
SMOAK,na,52-2000,na
SIMMONS,na,52-2000,na
GIER,na,52-2000,na
BERGDORF,na,52-2000,na
SIMMONS,na,49-2000,na
GIER,na,49-2000,na
BERGDORF,na,50-2000,na
NICHOLSON,in chambers + 10th Cir. CPNJ 18 + 10th Cir. CPNJ 19 + Anderson GS CC 19,51-2000, Anderson GS CC 19
BROWN,na,51-2000,na
COTTINGHAM,na,51-2000,na
HUGHSTON,na,51-2000,na
PYLE,na,51-2000,na
SMOAK,na,51-2000,na
GIER,na,51-2000,na
BERGDORF,na,51-2000,na
BROWN,na,52-2000,na
COTTINGHAM,na,52-2000,na
HUGHSTON,na,52-2000,na
PYLE,na,52-2000,na
SMOAK,na,52-2000,na
